timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1712174527678,298,Get all characters,200,OK,HTTP managers 1-141,text,true,,357,154,440,440,http://localhost:3001/characters,296,0,99
1712174527680,296,Get all characters,200,OK,HTTP managers 1-181,text,true,,357,154,441,441,http://localhost:3001/characters,293,0,96
1712174527693,283,Get all characters,200,OK,HTTP managers 1-120,text,true,,357,154,441,441,http://localhost:3001/characters,272,0,83
1712174527675,301,Get all characters,200,OK,HTTP managers 1-258,text,true,,357,154,441,441,http://localhost:3001/characters,296,0,101
1712174527704,272,Get all characters,200,OK,HTTP managers 1-64,text,true,,357,154,441,441,http://localhost:3001/characters,261,0,70
1712174527737,239,Get all characters,200,OK,HTTP managers 1-292,text,true,,357,154,441,441,http://localhost:3001/characters,231,0,38
1712174527702,274,Get all characters,200,OK,HTTP managers 1-16,text,true,,357,154,441,441,http://localhost:3001/characters,263,0,72
1712174527677,299,Get all characters,200,OK,HTTP managers 1-174,text,true,,357,154,441,441,http://localhost:3001/characters,296,0,98
1712174527693,283,Get all characters,200,OK,HTTP managers 1-270,text,true,,357,154,441,441,http://localhost:3001/characters,277,0,84
1712174527696,280,Get all characters,200,OK,HTTP managers 1-274,text,true,,357,154,441,441,http://localhost:3001/characters,274,0,78
1712174527693,283,Get all characters,200,OK,HTTP managers 1-273,text,true,,357,154,441,441,http://localhost:3001/characters,272,0,82
1712174527676,300,Get all characters,200,OK,HTTP managers 1-154,text,true,,357,154,441,441,http://localhost:3001/characters,294,0,100
1712174527707,269,Get all characters,200,OK,HTTP managers 1-164,text,true,,357,154,441,441,http://localhost:3001/characters,266,0,68
1712174527658,318,Get all characters,200,OK,HTTP managers 1-2,text,true,,357,154,441,441,http://localhost:3001/characters,307,0,116
1712174527689,287,Get all characters,200,OK,HTTP managers 1-222,text,true,,357,154,441,441,http://localhost:3001/characters,276,0,85
1712174527667,309,Get all characters,200,OK,HTTP managers 1-156,text,true,,357,154,441,441,http://localhost:3001/characters,305,0,110
1712174527653,323,Get all characters,200,OK,HTTP managers 1-234,text,true,,357,154,441,441,http://localhost:3001/characters,312,0,122
1712174527678,298,Get all characters,200,OK,HTTP managers 1-51,text,true,,357,154,441,441,http://localhost:3001/characters,293,0,97
1712174527691,285,Get all characters,200,OK,HTTP managers 1-89,text,true,,357,154,441,441,http://localhost:3001/characters,274,0,85
1712174527678,298,Get all characters,200,OK,HTTP managers 1-176,text,true,,357,154,441,441,http://localhost:3001/characters,293,0,99
1712174527702,274,Get all characters,200,OK,HTTP managers 1-50,text,true,,357,154,441,441,http://localhost:3001/characters,270,0,74
1712174527656,320,Get all characters,200,OK,HTTP managers 1-142,text,true,,357,154,441,441,http://localhost:3001/characters,309,0,118
1712174527661,315,Get all characters,200,OK,HTTP managers 1-54,text,true,,357,154,441,441,http://localhost:3001/characters,304,0,113
1712174527703,273,Get all characters,200,OK,HTTP managers 1-105,text,true,,357,154,441,441,http://localhost:3001/characters,262,0,73
1712174527755,221,Get all characters,200,OK,HTTP managers 1-316,text,true,,357,154,441,441,http://localhost:3001/characters,216,0,19
1712174527692,284,Get all characters,200,OK,HTTP managers 1-221,text,true,,357,154,441,441,http://localhost:3001/characters,273,0,83
1712174527706,270,Get all characters,200,OK,HTTP managers 1-19,text,true,,357,154,441,441,http://localhost:3001/characters,259,0,71
1712174527675,301,Get all characters,200,OK,HTTP managers 1-126,text,true,,357,154,441,441,http://localhost:3001/characters,293,0,101
1712174527748,228,Get all characters,200,OK,HTTP managers 1-307,text,true,,357,154,440,440,http://localhost:3001/characters,217,0,26
1712174527735,241,Get all characters,200,OK,HTTP managers 1-243,text,true,,357,154,441,441,http://localhost:3001/characters,230,0,41
1712174527663,313,Get all characters,200,OK,HTTP managers 1-245,text,true,,357,154,441,441,http://localhost:3001/characters,302,0,112
1712174527695,281,Get all characters,200,OK,HTTP managers 1-132,text,true,,357,154,441,441,http://localhost:3001/characters,270,0,79
1712174527689,288,Get all characters,200,OK,HTTP managers 1-100,text,true,,357,154,440,440,http://localhost:3001/characters,276,0,88
1712174527659,351,Get all characters,200,OK,HTTP managers 1-117,text,true,,357,154,474,474,http://localhost:3001/characters,351,0,118
1712174527704,358,Get all characters,200,OK,HTTP managers 1-125,text,true,,357,154,500,500,http://localhost:3001/characters,358,0,74
1712174527688,374,Get all characters,200,OK,HTTP managers 1-230,text,true,,357,154,500,500,http://localhost:3001/characters,374,0,89
1712174527703,360,Get all characters,200,OK,HTTP managers 1-83,text,true,,357,154,500,500,http://localhost:3001/characters,360,0,74
1712174527660,406,Get all characters,200,OK,HTTP managers 1-184,text,true,,357,154,500,500,http://localhost:3001/characters,406,0,117
1712174527765,301,Get all characters,200,OK,HTTP managers 1-342,text,true,,357,154,500,500,http://localhost:3001/characters,301,0,12
1712174527705,362,Get all characters,200,OK,HTTP managers 1-198,text,true,,357,154,500,500,http://localhost:3001/characters,362,0,72
1712174527658,410,Get all characters,200,OK,HTTP managers 1-238,text,true,,357,154,500,500,http://localhost:3001/characters,410,0,116
1712174527704,364,Get all characters,200,OK,HTTP managers 1-47,text,true,,357,154,500,500,http://localhost:3001/characters,364,0,70
1712174527678,392,Get all characters,200,OK,HTTP managers 1-175,text,true,,357,154,500,500,http://localhost:3001/characters,392,0,99
1712174527693,436,Get all characters,200,OK,HTTP managers 1-127,text,true,,357,154,536,536,http://localhost:3001/characters,436,0,81
1712174527984,283,Get character id,200,OK,HTTP managers 1-50,text,true,,192,156,601,601,http://localhost:3001/character/id,283,0,0
1712174527984,283,Get character id,200,OK,HTTP managers 1-164,text,true,,192,156,601,601,http://localhost:3001/character/id,283,0,0
1712174527984,283,Get character id,200,OK,HTTP managers 1-89,text,true,,192,156,601,601,http://localhost:3001/character/id,283,0,0
1712174527984,283,Get character id,200,OK,HTTP managers 1-156,text,true,,192,156,601,601,http://localhost:3001/character/id,283,0,0
1712174527984,284,Get character id,200,OK,HTTP managers 1-176,text,true,,192,156,601,601,http://localhost:3001/character/id,284,0,0
1712174527984,284,Get character id,200,OK,HTTP managers 1-51,text,true,,192,156,601,601,http://localhost:3001/character/id,284,0,0
1712174527693,576,Get all characters,200,OK,HTTP managers 1-107,text,true,,357,154,601,601,http://localhost:3001/characters,576,0,86
1712174527985,283,Get character id,200,OK,HTTP managers 1-154,text,true,,192,156,601,601,http://localhost:3001/character/id,283,0,0
1712174527984,288,Get character id,200,OK,HTTP managers 1-222,text,true,,192,156,603,603,http://localhost:3001/character/id,288,0,0
1712174527984,287,Get character id,200,OK,HTTP managers 1-270,text,true,,192,156,603,603,http://localhost:3001/character/id,287,0,0
1712174527703,569,Get all characters,200,OK,HTTP managers 1-77,text,true,,357,154,603,603,http://localhost:3001/characters,567,0,76
1712174527984,289,Get character id,200,OK,HTTP managers 1-258,text,true,,192,156,603,603,http://localhost:3001/character/id,289,0,0
1712174527984,291,Get character id,200,OK,HTTP managers 1-181,text,true,,192,156,604,604,http://localhost:3001/character/id,291,0,0
1712174527696,584,Get all characters,200,OK,HTTP managers 1-277,text,true,,357,154,614,614,http://localhost:3001/characters,584,0,83
1712174527695,586,Get all characters,200,OK,HTTP managers 1-214,text,true,,357,154,617,617,http://localhost:3001/characters,586,0,84
1712174527748,538,Get all characters,200,OK,HTTP managers 1-291,text,true,,357,154,644,644,http://localhost:3001/characters,538,0,30
1712174527692,595,Get all characters,200,OK,HTTP managers 1-216,text,true,,357,154,644,644,http://localhost:3001/characters,595,0,86
1712174527689,604,Get all characters,200,OK,HTTP managers 1-22,text,true,,357,154,682,682,http://localhost:3001/characters,603,0,90
1712174527760,533,Get all characters,200,OK,HTTP managers 1-334,text,true,,357,154,682,682,http://localhost:3001/characters,533,0,19
1712174527758,535,Get all characters,200,OK,HTTP managers 1-333,text,true,,357,154,686,686,http://localhost:3001/characters,535,0,21
1712174527689,604,Get all characters,200,OK,HTTP managers 1-226,text,true,,357,154,686,686,http://localhost:3001/characters,604,0,89
1712174527691,602,Get all characters,200,OK,HTTP managers 1-38,text,true,,357,154,686,686,http://localhost:3001/characters,602,0,88
1712174527748,546,Get all characters,200,OK,HTTP managers 1-318,text,true,,357,154,687,687,http://localhost:3001/characters,546,0,30
1712174527984,291,Get character id,200,OK,HTTP managers 1-292,text,true,,192,156,604,604,http://localhost:3001/character/id,291,0,0
1712174527682,617,Get all characters,200,OK,HTTP managers 1-262,text,true,,357,154,721,721,http://localhost:3001/characters,617,0,96
1712174527656,644,Get all characters,200,OK,HTTP managers 1-237,text,true,,357,154,723,724,http://localhost:3001/characters,644,0,123
1712174527703,590,Get all characters,200,OK,HTTP managers 1-52,text,true,,357,154,686,686,http://localhost:3001/characters,590,0,76
1712174527704,598,Get all characters,200,OK,HTTP managers 1-194,text,true,,357,154,729,729,http://localhost:3001/characters,597,0,74
1712174527692,610,Get all characters,200,OK,HTTP managers 1-166,text,true,,357,154,729,729,http://localhost:3001/characters,610,0,86
1712174527662,631,Get all characters,200,OK,HTTP managers 1-242,text,true,,357,154,686,686,http://localhost:3001/characters,631,0,117
1712174527984,320,Get character id,200,OK,HTTP managers 1-16,text,true,,192,156,731,731,http://localhost:3001/character/id,320,0,0
1712174527712,581,Get all characters,200,OK,HTTP managers 1-289,text,true,,357,154,686,686,http://localhost:3001/characters,581,0,66
1712174527984,309,Get character id,200,OK,HTTP managers 1-234,text,true,,192,156,686,686,http://localhost:3001/character/id,309,0,0
1712174527984,323,Get character id,200,OK,HTTP managers 1-120,text,true,,192,156,739,739,http://localhost:3001/character/id,323,0,0
1712174527984,323,Get character id,200,OK,HTTP managers 1-64,text,true,,192,156,739,739,http://localhost:3001/character/id,323,0,0
1712174527985,323,Get character id,200,OK,HTTP managers 1-54,text,true,,192,156,739,739,http://localhost:3001/character/id,323,0,0
1712174527985,323,Get character id,200,OK,HTTP managers 1-2,text,true,,192,156,739,739,http://localhost:3001/character/id,323,0,0
1712174527985,323,Get character id,200,OK,HTTP managers 1-274,text,true,,192,156,739,739,http://localhost:3001/character/id,323,0,0
1712174527985,323,Get character id,200,OK,HTTP managers 1-142,text,true,,192,156,740,740,http://localhost:3001/character/id,323,0,0
1712174527985,323,Get character id,200,OK,HTTP managers 1-273,text,true,,192,156,742,742,http://localhost:3001/character/id,323,0,0
1712174527985,324,Get character id,200,OK,HTTP managers 1-174,text,true,,192,156,742,742,http://localhost:3001/character/id,324,0,0
1712174527986,323,Get character id,200,OK,HTTP managers 1-100,text,true,,192,156,742,742,http://localhost:3001/character/id,323,0,0
1712174527705,604,Get all characters,200,OK,HTTP managers 1-136,text,true,,357,154,742,742,http://localhost:3001/characters,604,0,75
1712174527692,601,Get all characters,200,OK,HTTP managers 1-144,text,true,,357,154,686,686,http://localhost:3001/characters,601,0,87
1712174527689,604,Get all characters,200,OK,HTTP managers 1-191,text,true,,357,154,686,686,http://localhost:3001/characters,604,0,90
1712174527701,592,Get all characters,200,OK,HTTP managers 1-282,text,true,,357,154,686,686,http://localhost:3001/characters,592,0,81
1712174527985,323,Get character id,200,OK,HTTP managers 1-141,text,true,,192,156,739,739,http://localhost:3001/character/id,323,0,0
1712174527986,321,Get character id,200,OK,HTTP managers 1-105,text,true,,192,156,739,739,http://localhost:3001/character/id,321,0,0
1712174527680,622,Get all characters,200,OK,HTTP managers 1-42,text,true,,357,154,729,729,http://localhost:3001/characters,622,0,98
1712174527986,340,Get character id,200,OK,HTTP managers 1-126,text,true,,192,156,762,762,http://localhost:3001/character/id,340,0,0
1712174527688,638,Get all characters,200,OK,HTTP managers 1-106,text,true,,357,154,762,762,http://localhost:3001/characters,637,0,94
1712174527715,611,Get all characters,200,OK,HTTP managers 1-255,text,true,,357,154,762,762,http://localhost:3001/characters,611,0,66
1712174527986,372,Get character id,200,OK,HTTP managers 1-245,text,true,,192,156,804,804,http://localhost:3001/character/id,372,0,0
1712174527986,373,Get character id,200,OK,HTTP managers 1-132,text,true,,192,156,804,804,http://localhost:3001/character/id,373,0,0
1712174528010,350,Get character id,200,OK,HTTP managers 1-117,text,true,,192,156,805,805,http://localhost:3001/character/id,350,0,0
